member_casual,hour,rides
member,0,48842
member,1,28581
member,2,17309
member,3,12277
member,4,7393
member,5,4183
member,6,2637
member,7,1602
member,8,1109
member,9,1138
member,10,3510
member,11,13477
member,12,34398
member,13,63923
member,14,69343
member,15,33699
member,16,25787
member,17,30574
member,18,33652
member,19,32877
member,20,34711
member,21,50720
member,22,82075
member,23,86309
casual,0,2960
casual,1,1966
casual,2,1367
casual,3,1147
casual,4,859
casual,5,512
casual,6,406
casual,7,335
casual,8,187
casual,9,132
casual,10,114
casual,11,292
casual,12,726
casual,13,1396
casual,14,2434
casual,15,3129
casual,16,4173
casual,17,5341
casual,18,6938
casual,19,7507
casual,20,8037
casual,21,7760
casual,22,7662
casual,23,5758
